"reported_zip_code","totalclaims","x9_30_12","x9_30_13","x9_30_14","x9_30_15","x9_30_16","pct_change1412","geoid","name","med_inc12e","med_inc12m","pov12e","pov12m","pop12e","pop12m","pov_pct12"
"10004",6,1101220.362,1202176.981,1374840.917,1491380.084,1567496.249,0.248470301169386,"3610004","ZCTA5 10004",86651,11503,273,129,2780,511,0.0982014388489209
"10005",2,1147245.46,1199826.676,1340411.835,1394132.456,1452233.758,0.168374059200897,"3610005","ZCTA5 10005",79762,10032,590,213,5724,627,0.103074772886094
"10006",3,1021006.846,1094957.517,1188131.686,1259645.757,1250890.599,0.163686306957436,"3610006","ZCTA5 10006",95536,13537,257,119,2696,417,0.095326409495549
"10009",7,533969.9034,577684.0723,642211.1844,700094.6941,765562.3094,0.202710452987677,"3610009","ZCTA5 10009",37125,2573,12304,1257,62397,1899,0.197188967418305
"10011",12,1434313.22,1566732.647,1817995.452,1919370.633,2052661.375,0.267502402299548,"3610011","ZCTA5 10011",69659,5070,4316,548,51853,1605,0.0832352997897904
"10013",19,3026368.799,3320356.982,3816902.658,4260724.306,4475318.53,0.261215308346166,"3610013","ZCTA5 10013",33695,5551,3396,671,26090,1531,0.130164814105021
"10014",6,1661998.842,1873362.647,2152728.27,2234993.7,2327311.973,0.295264602837792,"3610014","ZCTA5 10014",69641,4650,1935,402,30893,1330,0.0626355485061341
"10017",6,590282.2256,608724.4955,682069.3736,725919.9918,766863.8661,0.155497055508832,"3610017","ZCTA5 10017",75674,2330,1194,384,16137,1027,0.073991448224577
"10038",9,NA,NA,NA,NA,NA,NA,"3610038","ZCTA5 10038",33021,5529,4224,772,20042,1052,0.210757409440176
"10041",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10128",8,865009.0783,904755.4789,1059885.029,1141596.686,1213156.341,0.225287751988672,"3610128","ZCTA5 10128",64799,1802,4381,801,59443,1909,0.0737008562824891
"10301",3,405939.1928,408170.6657,422589.1058,447776.3924,488850.4989,0.0410157809231373,"3610301","ZCTA5 10301",28196,2207,7468,1290,38851,1683,0.192221564438496
"10302",2,311760.3582,312757.7967,328263.3244,350086.6279,381565.8165,0.0529347807247931,"3610302","ZCTA5 10302",27247,3270,4225,795,17090,1126,0.247220596840257
"10303",1,248838.4333,253328.3565,263480.3022,278953.9164,308914.4431,0.0588408659620024,"3610303","ZCTA5 10303",30028,2509,4622,796,24933,1350,0.185376809850399
"10304",3,355709.8132,364206.8336,378772.3536,405085.9719,447239.4623,0.0648352661191074,"3610304","ZCTA5 10304",25525,1399,8417,1312,41845,1853,0.201147090452862
"10305",106,378361.5208,385259.9309,391735.2872,419275.9391,459883.9765,0.0353465288217544,"3610305","ZCTA5 10305",31943,1455,3778,686,41309,1554,0.0914570674671379
"10306",219,404286.2087,411240.5642,427472.6984,451021.1416,479422.4189,0.0573516711701771,"3610306","ZCTA5 10306",36474,1323,3165,666,55692,1651,0.0568304244774833
"10307",12,468909.6962,479899.9121,497015.4214,509895.9635,534123.9103,0.0599384602787405,"3610307","ZCTA5 10307",41913,5202,393,160,14418,739,0.027257594673325
"10308",22,404202.7564,414580.8655,430130.492,445477.1149,476901.4281,0.0641453705831285,"3610308","ZCTA5 10308",40376,3020,1184,296,28782,1453,0.0411368216246265
"10309",2,442265.8724,445911.114,464999.4729,480730.2674,507882.4697,0.0514025655577579,"3610309","ZCTA5 10309",44815,2735,2146,640,31943,1253,0.0671821682371725
"10310",3,363671.2999,368766.2166,385012.762,412867.587,447371.5572,0.0586833827851369,"3610310","ZCTA5 10310",31895,2444,5056,1050,24454,1109,0.206755541015785
"10312",7,406608.6923,417961.7264,434943.3904,451321.3727,478843.5282,0.0696854214791216,"3610312","ZCTA5 10312",41061,2227,3670,784,61136,1603,0.0600300968332897
