"reported_zip_code","totalclaims.x","x8_31_21","x8_31_22","x8_31_23","pct_change2321","totalclaims.y","x9_30_12","x9_30_13","x9_30_14","x9_30_15","x9_30_16","pct_change1412","ida_claims","sandy_claims"
"10004",2,1205330.804,1127942.064,1038950.006,-0.138037456147184,6,1101220.362,1202176.981,1374840.917,1491380.084,1567496.249,0.248470301169386,2,6
"10006",1,1005076.54,1036463.962,963741.6498,-0.0411261118481584,3,1021006.846,1094957.517,1188131.686,1259645.757,1250890.599,0.163686306957436,1,3
"10009",5,915353.9219,1125739.411,998556.4568,0.0908965733465113,7,533969.9034,577684.0723,642211.1844,700094.6941,765562.3094,0.202710452987677,5,7
"10011",8,1855027.341,1993517.134,1522467.396,-0.179274956034193,12,1434313.22,1566732.647,1817995.452,1919370.633,2052661.375,0.267502402299548,8,12
"10013",8,3359631.154,3673032.485,3402775.186,0.0128418954410018,19,3026368.799,3320356.982,3816902.658,4260724.306,4475318.53,0.261215308346166,8,19
"10014",4,1908805.711,2090772.121,1655771.136,-0.132561723564541,6,1661998.842,1873362.647,2152728.27,2234993.7,2327311.973,0.295264602837792,4,6
"10128",4,1233714.381,1336113.624,1099471.304,-0.108812119780259,8,865009.0783,904755.4789,1059885.029,1141596.686,1213156.341,0.225287751988672,4,8
"10301",3,634092.6808,678675.694,666300.2556,0.0507931660074763,3,405939.1928,408170.6657,422589.1058,447776.3924,488850.4989,0.0410157809231373,3,3
"10302",34,519792.695,567830.7331,560453.9374,0.0782258827242658,2,311760.3582,312757.7967,328263.3244,350086.6279,381565.8165,0.0529347807247931,34,2
"10303",4,440029.6992,481532.4937,486463.2642,0.105523706887101,1,248838.4333,253328.3565,263480.3022,278953.9164,308914.4431,0.0588408659620024,4,1
"10304",2,582508.5217,635751.1058,626885.8027,0.0761830588683729,3,355709.8132,364206.8336,378772.3536,405085.9719,447239.4623,0.0648352661191074,2,3
"10305",26,594689.2329,654883.2426,652063.4445,0.0964776364290554,106,378361.5208,385259.9309,391735.2872,419275.9391,459883.9765,0.0353465288217544,26,106
"10306",58,623808.7238,682962.4214,674482.5483,0.0812329526129657,219,404286.2087,411240.5642,427472.6984,451021.1416,479422.4189,0.0573516711701771,58,219
"10307",1,669696.0928,731132.4203,731452.5691,0.0922156735927726,12,468909.6962,479899.9121,497015.4214,509895.9635,534123.9103,0.0599384602787405,1,12
