"reportedZipCode","totalclaims"
"10003",2
"10004",2
"10006",1
"10007",1
"10009",5
"10011",8
"10012",1
"10013",8
"10014",4
"10021",1
"10022",1
"10024",1
"10026",1
"10028",1
"10029",5
"10034",7
"10035",4
"10037",9
"10039",6
"10044",1
"10065",2
"10075",1
"10128",4
"10282",1
"10301",3
"10302",34
"10303",4
"10304",2
"10305",26
"10306",58
"10307",1
"10308",3
"10309",10
"10310",7
"10312",38
"10314",17
"10452",1
"10454",3
"10455",4
"10461",4
"10464",6
"10465",68
"10466",1
"10467",1
"10469",4
"10470",1
"10471",4
"10472",1
"10473",12
"10475",5
"11020",1
"11101",8
"11103",2
"11104",3
"11105",3
"11106",4
"11201",3
"11203",3
"11205",3
"11206",2
"11207",3
"11208",2
"11210",3
"11211",9
"11213",1
"11214",2
"11215",7
"11216",2
"11217",3
"11218",4
"11219",1
"11220",1
"11221",2
"11222",18
"11223",2
"11224",10
"11225",2
"11226",1
"11229",6
"11230",3
"11231",23
"11232",2
"11233",3
"11234",12
"11235",18
"11236",20
"11237",1
"11238",3
"11249",8
"11354",7
"11355",6
"11356",5
"11357",12
"11358",10
"11360",6
"11361",1
"11363",4
"11364",1
"11365",8
"11366",2
"11367",2
"11368",1
"11369",2
"11370",2
"11373",1
"11374",2
"11375",5
"11377",5
"11378",2
"11379",2
"11385",5
"11413",1
"11414",15
"11418",1
"11419",1
"11423",1
"11432",1
"11436",1
"11691",6
"11692",6
"11693",1
"11694",3
